account,date,amount,Unnamed: 3
Revolut,2025-12-19,-9.36,
Caja Rural,2025-12-19,0.0,
Trade Republic,2025-12-19,0.0,
Revolut,2026-01-01,-15.36,
Revolut,2026-01-03,-29.36,
Revolut,2026-01-04,-132.26,
Revolut,2026-01-05,-149.26,
Revolut,2026-01-07,-465.39,
Revolut,2026-01-11,-494.34,
Revolut,2026-01-12,-524.24,
Revolut,2026-01-13,-608.78,
Revolut,2026-01-14,-621.77,
Revolut,2026-01-15,-753.79,
Revolut,2026-01-16,-771.45,
Revolut,2026-01-17,-700.2,
Revolut,2026-01-18,-884.04,
Revolut,2026-01-19,-965.2,
Revolut,2026-01-20,-995.26,
Revolut,2026-01-21,-1011.68,
Revolut,2026-01-22,-685.13,
Revolut,2026-01-23,-683.62,
Revolut,2026-01-24,-802.44,
Revolut,2026-01-25,-842.83,
Revolut,2026-01-26,-873.96,
Revolut,2026-01-27,-911.04,
Revolut,2026-01-28,-952.96,
Revolut,2026-01-29,-989.09,
Revolut,2026-01-30,77.96,
Revolut,2026-01-31,11.21,
Revolut,2026-02-01,31.21,
Revolut,2026-02-03,113.21,
Revolut,2026-02-04,152.53,
Revolut,2026-02-06,215.93,
Revolut,2026-02-07,169.43,
Revolut,2026-02-09,50.17,
Revolut,2026-02-10,16.09,
Revolut,2026-02-11,-24.99,
Revolut,2026-02-12,53.6,
Revolut,2026-02-13,-15.52,
Revolut,2026-02-14,-190.61,
Revolut,2026-02-15,-461.14,
Revolut,2026-02-16,-501.53,
Revolut,2026-02-17,-540.46,
Revolut,2026-02-18,-419.2,
Revolut,2026-02-19,-259.86,
Revolut,2026-02-20,-303.69,
Revolut,2026-02-21,-471.27,
Revolut,2026-02-22,-514.85,
Revolut,2026-02-23,-579.11,
Revolut,2026-02-24,-588.61,
Revolut,2026-02-25,-649.4,
Revolut,2026-02-26,320.97,
Revolut,2026-02-27,238.98,
Revolut,2026-02-28,220.98,
Revolut,2026-03-01,174.62,
Revolut,2026-03-02,121.79,
Revolut,2026-03-04,102.77,
Revolut,2026-03-06,6.94,
Revolut,2026-03-08,5.64,
Revolut,2026-03-13,-10.86,
Revolut,2026-03-14,-21.06,
Revolut,2026-03-16,-43.76,
Revolut,2026-03-17,-131.16,
Revolut,2026-03-18,-168.85,
Revolut,2026-03-19,-281.8,
Revolut,2026-03-20,-343.81,
Revolut,2026-03-21,-419.65,
Revolut,2026-03-22,-427.47,
Revolut,2026-03-23,-436.3,
Revolut,2026-03-24,-446.64,
Revolut,2026-03-25,-464.65,
Revolut,2026-03-26,-553.91,
Revolut,2026-03-27,-411.98,
Revolut,2026-03-28,-477.83,
Revolut,2026-03-29,-536.0,
Revolut,2026-03-30,-574.28,
